Transaction_ID,Date,Day_of_Week,Month,Is_Weekend,Store,Category,Unit_Price,Units_Sold,Discount_Percent,Discount_Amount,Total_Sales,Customer_Age,Customer_Gender,Payment_Method,Customer_Rating
20,2023-02-21,Tuesday,2,0,Store_B,Clothing,665.27,14,10,931.38,8382.4,45,Female,UPI,4.5
21,2022-02-25,Friday,2,0,Store_A,Electronics,20429.75,11,30,67418.18,157309.07,24,Male,Credit Card,1.8
22,2023-04-05,Wednesday,4,0,Store_B,Books,356.88,15,5,267.66,5085.54,22,Female,Cash,1.2
23,2023-07-08,Saturday,7,1,Store_A,Clothing,4646.56,8,5,1858.62,35313.86,44,Female,UPI,1.9
24,2023-02-15,Wednesday,2,0,Store_A,Groceries,789.0,13,10,1025.7,9231.3,68,Female,Debit Card,2.7
25,2023-07-24,Monday,7,0,Store_D,Groceries,420.3,7,0,0.0,2942.1,55,Male,Debit Card,1.2
26,2023-08-22,Tuesday,8,0,Store_D,Groceries,160.92,17,0,0.0,2735.64,29,Male,Cash,3.7
27,2022-08-29,Monday,8,0,Store_D,Clothing,4719.66,19,5,4483.68,85189.86,55,Male,Cash,2.7
28,2023-08-21,Monday,8,0,Store_C,Toys,692.35,11,5,380.79,7235.06,34,Female,Credit Card,3.7
29,2022-11-04,Friday,11,0,Store_D,Sports,13956.57,7,0,0.0,97695.99,47,Male,Cash,3.2
30,2022-05-16,Monday,5,0,Store_C,Clothing,4420.5,12,10,5304.6,47741.4,28,Female,Debit Card,3.4
31,2023-11-01,Wednesday,11,0,Store_A,Toys,2802.09,7,5,560.42,19054.21,34,Male,Cash,4.0
32,2022-10-06,Thursday,10,0,Store_C,Furniture,57691.36,7,25,100959.88,302879.64,58,Female,UPI,2.0
33,2022-02-22,Tuesday,2,0,Store_A,Books,1261.09,2,0,0.0,2522.18,39,Male,Debit Card,1.6
34,2023-03-29,Wednesday,3,0,Store_D,Electronics,6037.76,5,20,6037.76,24151.04,20,Female,Credit Card,2.7
35,2022-02-12,Saturday,2,1,Store_C,Sports,13515.03,2,10,2703.01,24327.05,31,Male,Cash,2.4
36,2023-07-28,Friday,7,0,Store_D,Groceries,1855.24,8,30,4452.58,10389.34,28,Male,UPI,1.1
37,2022-12-07,Wednesday,12,0,Store_D,Furniture,22077.65,9,15,13246.59,185452.26,20,Female,Credit Card,1.8
38,2022-12-25,Sunday,12,1,Store_C,Furniture,18610.96,11,15,19541.51,185179.05,39,Female,Cash,4.9
39,2022-12-26,Monday,12,0,Store_D,Sports,14106.79,9,10,5642.72,121318.39,29,Female,Cash,1.4
40,2022-12-20,Tuesday,12,0,Store_C,Books,948.69,20,0,0.0,18973.8,42,Male,Debit Card,1.2
41,2022-01-02,Sunday,1,1,Store_B,Sports,6640.07,11,20,14608.15,58432.62,38,Male,Debit Card,3.0
42,2023-11-14,Tuesday,11,0,Store_D,Sports,6215.29,15,20,12430.58,80798.77,26,Male,UPI,3.7
43,2023-11-25,Saturday,11,1,Store_B,Toys,1277.62,5,10,127.76,6260.34,36,Male,UPI,4.1
44,2023-04-22,Saturday,4,1,Store_D,Beauty,2751.16,17,15,7015.46,39754.26,68,Male,Cash,2.1
45,2023-11-11,Saturday,11,1,Store_C,Clothing,4128.43,10,25,8256.86,33027.44,37,Male,Credit Card,1.6
46,2022-09-08,Thursday,9,0,Store_D,Clothing,2386.0,19,5,2266.7,43067.3,63,Female,UPI,2.6
47,2022-06-01,Wednesday,6,0,Store_A,Clothing,3936.42,8,5,1574.57,29916.79,69,Female,Cash,3.2
48,2022-05-05,Thursday,5,0,Store_D,Groceries,1612.76,17,20,5483.38,21933.54,56,Female,UPI,3.5
49,2023-06-01,Thursday,6,0,Store_D,Beauty,3604.25,16,15,8650.2,49017.8,34,Male,Debit Card,4.1
50,2023-06-18,Sunday,6,1,Store_D,Furniture,22693.2,3,25,17019.9,51059.7,36,Male,Debit Card,2.3
51,2023-07-08,Saturday,7,1,Store_A,Groceries,344.12,13,25,1118.39,3355.17,27,Male,Cash,2.7
52,2022-12-05,Monday,12,0,Store_D,Books,187.17,18,15,393.06,2976.0,67,Male,UPI,2.9
53,2022-11-02,Wednesday,11,0,Store_D,Books,853.51,20,30,4608.95,12461.25,56,Male,UPI,1.9
54,2023-05-13,Saturday,5,1,Store_A,Books,570.58,13,25,1854.39,5563.15,28,Female,Credit Card,4.9
55,2023-07-01,Saturday,7,1,Store_A,Books,928.65,1,0,0.0,928.65,59,Female,Credit Card,4.5
56,2022-07-06,Wednesday,7,0,Store_A,Toys,1199.4,7,15,1259.37,7136.43,38,Female,UPI,2.1
57,2023-03-08,Wednesday,3,0,Store_C,Clothing,2457.47,18,0,0.0,44234.46,40,Male,Cash,4.1
58,2023-10-30,Monday,10,0,Store_A,Electronics,47505.78,7,30,99762.14,232778.32,19,Male,Credit Card,1.5
59,2023-11-17,Friday,11,0,Store_A,Furniture,37737.68,12,30,101891.74,350960.42,41,Male,Cash,4.1
60,2022-11-15,Tuesday,11,0,Store_A,Electronics,46479.91,20,25,220779.57,708818.63,42,Female,Credit Card,1.3
61,2022-04-15,Friday,4,0,Store_C,Clothing,4021.89,19,30,22924.77,53491.14,20,Female,UPI,3.6
62,2022-03-12,Saturday,3,1,Store_C,Electronics,42553.99,16,0,0.0,680863.84,45,Female,UPI,3.8
63,2023-03-22,Wednesday,3,0,Store_B,Toys,1886.15,18,30,10185.21,23765.49,48,Female,UPI,4.3
64,2023-08-30,Wednesday,8,0,Store_C,Sports,12820.18,3,10,3846.05,34614.49,46,Male,UPI,3.3
65,2023-11-16,Thursday,11,0,Store_D,Sports,721.89,15,5,397.04,10431.31,49,Male,Debit Card,4.2
66,2022-10-14,Friday,10,0,Store_C,Electronics,26073.05,7,0,0.0,182511.35,33,Female,UPI,3.2
67,2022-09-04,Sunday,9,1,Store_D,Beauty,1875.47,1,0,0.0,1875.47,36,Male,UPI,3.8
68,2022-11-10,Thursday,11,0,Store_C,Beauty,2280.87,16,15,4105.57,32388.35,65,Female,Debit Card,3.8
69,2022-11-10,Thursday,11,0,Store_C,Furniture,10531.81,12,10,7372.27,119009.45,25,Male,Credit Card,1.9
70,2022-10-11,Tuesday,10,0,Store_C,Clothing,4196.62,10,5,2098.31,39867.89,41,Male,Debit Card,1.1
71,2023-07-01,Saturday,7,1,Store_B,Toys,232.0,2,20,92.8,371.2,36,Male,UPI,1.4
72,2022-01-13,Thursday,1,0,Store_C,Beauty,1993.05,11,5,1096.18,20827.37,21,Female,UPI,1.5
73,2022-03-08,Tuesday,3,0,Store_D,Beauty,435.22,2,5,43.52,826.92,27,Female,Cash,5.0
74,2022-05-02,Monday,5,0,Store_D,Furniture,62279.79,13,15,121445.59,688191.68,46,Female,UPI,2.2
75,2023-09-28,Thursday,9,0,Store_A,Clothing,4748.43,7,25,8309.75,24929.26,31,Female,Cash,1.6
76,2022-06-27,Monday,6,0,Store_A,Groceries,55.22,15,25,207.07,621.23,56,Female,Debit Card,1.1
77,2022-10-23,Sunday,10,1,Store_C,Beauty,424.04,8,10,339.23,3053.09,68,Male,UPI,1.5
78,2022-08-19,Friday,8,0,Store_B,Toys,2497.23,3,0,0.0,7491.69,28,Female,Debit Card,2.8
79,2023-04-25,Tuesday,4,0,Store_C,Books,1419.75,17,20,4827.15,19308.6,49,Female,Cash,3.4
80,2023-03-19,Sunday,3,1,Store_C,Toys,175.01,8,25,350.02,1050.06,54,Male,Debit Card,3.3
81,2022-06-29,Wednesday,6,0,Store_D,Beauty,3676.88,6,20,4412.26,17649.02,45,Female,Cash,2.9
82,2023-02-23,Thursday,2,0,Store_C,Sports,10150.96,6,10,6090.58,54815.18,44,Female,Debit Card,3.7
83,2023-02-15,Wednesday,2,0,Store_A,Beauty,489.03,9,10,440.13,3961.14,25,Female,Cash,3.6
84,2023-07-10,Monday,7,0,Store_D,Books,175.89,17,10,299.01,2691.12,57,Female,UPI,4.0
85,2022-07-28,Thursday,7,0,Store_C,Groceries,1858.96,15,25,6971.1,20913.3,49,Male,Cash,4.9
86,2023-09-16,Saturday,9,1,Store_B,Groceries,655.96,1,20,131.19,524.77,44,Male,Credit Card,5.0
87,2022-04-27,Wednesday,4,0,Store_D,Clothing,3309.01,5,15,2481.76,14063.29,63,Female,Debit Card,2.7
88,2023-05-10,Wednesday,5,0,Store_D,Furniture,37086.13,5,15,27814.6,157616.05,30,Male,Cash,2.1
89,2023-03-01,Wednesday,3,0,Store_C,Toys,2479.59,10,25,6198.98,18596.92,37,Female,Credit Card,2.8
90,2023-05-11,Thursday,5,0,Store_C,Sports,8413.19,18,15,22715.61,128721.81,47,Female,Credit Card,4.9
91,2022-09-02,Friday,9,0,Store_D,Furniture,68625.03,14,0,0.0,960750.42,38,Female,UPI,2.5
92,2023-11-11,Saturday,11,1,Store_B,Beauty,3864.57,10,20,3864.57,34781.13,55,Female,Cash,4.5
93,2022-04-13,Wednesday,4,0,Store_D,Electronics,36260.97,14,30,152296.07,355357.51,59,Male,Cash,2.9
94,2022-09-29,Thursday,9,0,Store_C,Books,1009.77,11,30,3332.24,7775.23,61,Female,Debit Card,3.5
95,2023-05-15,Monday,5,0,Store_A,Clothing,1326.9,10,5,663.45,12605.55,65,Male,UPI,4.9
96,2023-10-11,Wednesday,10,0,Store_A,Beauty,790.5,10,0,0.0,7905.0,20,Female,Cash,2.2
97,2023-01-19,Thursday,1,0,Store_D,Groceries,526.18,14,20,1473.3,5893.22,61,Male,Credit Card,1.7
98,2023-09-17,Sunday,9,1,Store_D,Furniture,40315.71,19,5,38299.92,727698.57,32,Female,Debit Card,2.8
99,2023-11-14,Tuesday,11,0,Store_A,Beauty,3619.66,20,5,3257.69,69135.51,22,Female,Debit Card,5.0
100,2023-10-17,Tuesday,10,0,Store_D,Toys,1424.82,10,5,712.41,13535.79,42,Female,Cash,1.9
101,2023-08-09,Wednesday,8,0,Store_C,Toys,2978.81,10,0,0.0,29788.1,60,Female,Debit Card,1.0
102,2023-12-04,Monday,12,0,Store_A,Beauty,3356.43,13,30,10069.29,33564.3,69,Male,Debit Card,1.9
103,2023-09-28,Thursday,9,0,Store_C,Groceries,1275.08,2,10,255.02,2295.14,68,Female,Cash,3.3
104,2022-05-15,Sunday,5,1,Store_A,Toys,1047.49,14,5,733.24,13931.62,30,Male,Debit Card,3.1
105,2022-10-07,Friday,10,0,Store_B,Toys,2750.74,16,30,13203.55,30808.29,36,Female,Cash,2.9
106,2022-03-19,Saturday,3,1,Store_B,Furniture,68951.11,13,30,268909.33,627455.1,69,Female,Cash,4.2
107,2022-01-15,Saturday,1,1,Store_C,Clothing,2382.97,9,20,4289.35,17157.38,42,Female,Cash,3.7
108,2023-04-28,Friday,4,0,Store_A,Sports,13754.26,8,25,27508.52,82525.56,22,Female,Debit Card,3.6
109,2022-04-30,Saturday,4,1,Store_B,Electronics,47339.95,10,15,71009.93,402389.57,25,Male,Credit Card,4.5
110,2022-05-19,Thursday,5,0,Store_D,Beauty,1578.39,18,15,4261.65,24149.37,55,Male,UPI,3.6
111,2023-05-17,Wednesday,5,0,Store_D,Toys,194.88,12,5,116.93,2221.63,46,Female,Credit Card,4.4
112,2022-04-12,Tuesday,4,0,Store_C,Sports,1190.09,9,5,535.54,10175.27,25,Female,Cash,3.7
113,2023-10-20,Friday,10,0,Store_A,Electronics,39446.33,8,5,15778.53,299792.11,68,Male,Cash,4.3
114,2023-07-22,Saturday,7,1,Store_B,Furniture,65231.19,8,10,52184.95,469664.57,67,Male,Cash,2.1
115,2022-05-29,Sunday,5,1,Store_B,Toys,2415.69,4,25,2415.69,7247.07,19,Male,Cash,2.4
116,2022-09-01,Thursday,9,0,Store_C,Electronics,9125.19,2,5,912.52,17337.86,65,Female,Cash,4.0
117,2023-05-03,Wednesday,5,0,Store_D,Sports,7844.6,4,15,4706.76,26671.64,50,Male,Cash,3.9
118,2023-11-06,Monday,11,0,Store_C,Beauty,2626.86,6,0,0.0,15761.16,48,Female,UPI,3.7
119,2023-12-31,Sunday,12,1,Store_D,Clothing,4516.48,15,20,9936.26,57810.94,27,Male,Credit Card,2.1
120,2023-01-26,Thursday,1,0,Store_C,Beauty,2096.37,14,0,0.0,29349.18,68,Male,Credit Card,2.7
121,2022-08-22,Monday,8,0,Store_D,Sports,12463.06,13,15,24302.97,137716.81,64,Male,Debit Card,2.7
122,2023-11-13,Monday,11,0,Store_C,Sports,14317.81,20,0,0.0,286356.2,23,Male,Cash,2.7
123,2022-05-14,Saturday,5,1,Store_A,Sports,10149.19,14,10,14208.87,127879.79,60,Female,Cash,4.9
124,2023-09-07,Thursday,9,0,Store_C,Sports,1822.93,17,5,1549.49,29440.32,27,Female,Credit Card,4.4
125,2022-12-25,Sunday,12,1,Store_C,Clothing,3860.51,20,5,3667.48,73542.72,69,Female,Cash,3.4
126,2022-01-30,Sunday,1,1,Store_B,Toys,2137.83,10,10,2137.83,19240.47,40,Male,Credit Card,4.5
127,2023-08-03,Thursday,8,0,Store_D,Clothing,881.0,1,0,0.0,881.0,65,Male,UPI,2.7
128,2022-12-16,Friday,12,0,Store_B,Sports,4881.07,13,30,16107.53,47346.38,54,Male,Cash,1.6
129,2023-11-22,Wednesday,11,0,Store_A,Toys,1385.03,16,15,2908.56,19251.92,56,Female,UPI,2.1
130,2022-12-20,Tuesday,12,0,Store_D,Clothing,1559.58,20,15,4444.8,26746.8,51,Female,Cash,1.9
131,2022-01-08,Saturday,1,1,Store_B,Toys,2841.44,5,30,4262.16,9945.04,34,Female,Debit Card,1.5
132,2023-05-25,Thursday,5,0,Store_D,Groceries,301.91,18,25,1358.6,4075.78,32,Female,Cash,2.6
133,2022-02-13,Sunday,2,1,Store_D,Electronics,23257.84,3,30,20932.06,48841.46,38,Female,UPI,3.8
134,2023-03-04,Saturday,3,1,Store_C,Clothing,2144.16,11,5,1179.29,22406.47,69,Female,Debit Card,1.4
135,2022-04-19,Tuesday,4,0,Store_B,Books,924.42,17,0,0.0,15715.14,43,Female,Debit Card,1.9
136,2022-06-22,Wednesday,6,0,Store_A,Clothing,2746.9,7,30,5768.49,13459.81,40,Female,Credit Card,1.9
137,2022-05-30,Monday,5,0,Store_C,Furniture,14706.42,5,30,22059.63,51472.47,66,Male,Credit Card,4.8
138,2023-10-06,Friday,10,0,Store_D,Beauty,3054.62,19,15,8705.67,49332.11,61,Female,Debit Card,1.6
139,2022-03-11,Friday,3,0,Store_D,Beauty,2580.83,9,20,4645.49,18581.98,21,Female,Cash,2.2
140,2023-04-08,Saturday,4,1,Store_A,Electronics,18752.51,10,0,0.0,187525.1,59,Male,UPI,2.9
141,2023-07-22,Saturday,7,1,Store_A,Beauty,3649.84,19,25,17336.74,52010.22,30,Female,UPI,3.0
142,2022-03-05,Saturday,3,1,Store_D,Clothing,4092.64,11,25,11254.76,33764.28,23,Male,Cash,2.0
143,2023-03-25,Saturday,3,1,Store_D,Groceries,759.6,10,15,1139.4,6456.6,44,Female,Cash,4.2
144,2023-10-25,Wednesday,10,0,Store_C,Clothing,1782.52,18,25,8021.34,24064.02,42,Female,Debit Card,3.9
145,2023-11-04,Saturday,11,1,Store_B,Sports,1498.08,7,10,749.04,9737.52,37,Female,Credit Card,3.4
146,2022-11-14,Monday,11,0,Store_D,Sports,12253.82,20,0,0.0,245076.4,59,Female,Debit Card,1.1
147,2022-07-04,Monday,7,0,Store_B,Sports,14230.72,16,5,11384.58,216306.94,32,Male,Credit Card,1.3
148,2022-04-14,Thursday,4,0,Store_A,Sports,13182.97,20,5,13182.97,250476.43,56,Female,Credit Card,1.6
149,2023-12-11,Monday,12,0,Store_B,Beauty,318.22,17,25,954.66,4455.08,64,Male,UPI,3.4
150,2022-08-28,Sunday,8,1,Store_B,Toys,2900.23,16,30,13921.1,32482.58,30,Female,UPI,2.8
151,2022-10-16,Sunday,10,1,Store_D,Books,1452.78,7,30,3050.84,7118.62,56,Male,Debit Card,1.2
152,2023-05-08,Monday,5,0,Store_C,Clothing,3614.72,17,30,18435.07,43015.17,25,Female,Cash,4.1
153,2022-10-07,Friday,10,0,Store_D,Groceries,1670.54,3,5,250.58,4761.04,70,Female,Debit Card,4.7
154,2023-03-01,Wednesday,3,0,Store_A,Books,802.81,8,15,963.37,5459.11,23,Female,Credit Card,1.1
155,2022-04-12,Tuesday,4,0,Store_C,Groceries,318.32,10,30,954.96,2228.24,48,Male,UPI,2.8
156,2022-01-06,Thursday,1,0,Store_A,Electronics,13168.23,5,20,13168.23,52672.92,64,Female,Cash,4.1
157,2022-09-01,Thursday,9,0,Store_C,Clothing,429.2,14,25,1502.2,4506.6,68,Female,Cash,1.4
158,2023-05-27,Saturday,5,1,Store_A,Furniture,57765.0,10,15,86647.5,491002.5,18,Female,Credit Card,3.3
159,2022-07-11,Monday,7,0,Store_A,Sports,1294.89,17,20,4402.63,17610.5,50,Male,UPI,4.5
160,2022-02-14,Monday,2,0,Store_D,Sports,4028.66,1,10,402.87,3625.79,68,Male,Debit Card,2.0
161,2023-11-04,Saturday,11,1,Store_A,Sports,2261.12,17,20,5426.69,33012.35,39,Male,UPI,4.9
162,2023-10-09,Monday,10,0,Store_B,Groceries,173.05,15,0,0.0,2595.75,36,Male,Cash,4.2
163,2022-02-12,Saturday,2,1,Store_C,Toys,1594.61,18,15,4305.45,24397.53,34,Male,Credit Card,2.1
164,2022-02-18,Friday,2,0,Store_C,Toys,460.98,12,15,829.76,4702.0,43,Female,UPI,2.4
165,2022-07-11,Monday,7,0,Store_D,Beauty,1564.29,17,10,2659.29,23933.64,69,Male,UPI,1.3
166,2023-09-09,Saturday,9,1,Store_B,Toys,1031.51,3,10,309.45,2785.08,60,Female,Debit Card,2.8
167,2023-03-13,Monday,3,0,Store_B,Beauty,1503.46,2,25,751.73,2255.19,40,Female,Debit Card,3.6
168,2022-02-28,Monday,2,0,Store_A,Books,608.64,6,0,0.0,3651.84,27,Female,Cash,1.5
169,2022-08-30,Tuesday,8,0,Store_C,Sports,5927.96,19,0,0.0,112631.24,56,Male,UPI,4.8
170,2023-01-16,Monday,1,0,Store_D,Clothing,2954.82,17,10,5023.19,45208.75,43,Female,Debit Card,2.0
171,2022-04-27,Wednesday,4,0,Store_A,Groceries,1023.14,13,20,2660.16,10640.66,25,Female,Debit Card,3.8
172,2022-08-08,Monday,8,0,Store_C,Beauty,920.69,5,30,1381.04,3222.41,22,Female,Credit Card,4.6
173,2023-04-01,Saturday,4,1,Store_A,Sports,10117.24,3,20,6070.34,24281.38,52,Female,Debit Card,4.4
174,2023-12-30,Saturday,12,1,Store_B,Sports,7778.71,6,5,1555.74,45116.52,68,Male,Credit Card,4.2
175,2023-01-05,Thursday,1,0,Store_C,Beauty,3244.1,18,5,2919.69,55474.11,57,Male,Cash,2.2
176,2023-05-06,Saturday,5,1,Store_D,Books,1252.68,3,5,187.9,3570.14,38,Male,UPI,2.9
177,2023-06-14,Wednesday,6,0,Store_C,Groceries,1762.02,18,25,7929.09,23787.27,55,Male,Credit Card,2.7
178,2022-02-26,Saturday,2,1,Store_A,Groceries,643.04,6,10,385.82,3472.42,63,Male,Debit Card,4.8
179,2023-06-16,Friday,6,0,Store_C,Clothing,1402.91,18,10,2525.24,22727.14,26,Female,Cash,3.0
180,2022-06-22,Wednesday,6,0,Store_B,Groceries,1334.53,20,10,2669.06,24021.54,54,Male,Cash,1.3
181,2023-10-19,Thursday,10,0,Store_C,Furniture,61589.76,14,20,172451.33,689805.31,58,Male,UPI,4.6
182,2023-07-13,Thursday,7,0,Store_C,Toys,1500.54,13,10,1950.7,17556.32,47,Male,Cash,1.6
183,2023-03-02,Thursday,3,0,Store_D,Beauty,935.49,20,5,935.49,17774.31,38,Female,Debit Card,4.9
184,2022-05-14,Saturday,5,1,Store_C,Clothing,1731.76,15,0,0.0,25976.4,35,Female,Credit Card,1.6
185,2022-02-21,Monday,2,0,Store_C,Books,1309.83,14,5,916.88,17420.74,28,Female,Debit Card,1.8
186,2022-06-13,Monday,6,0,Store_D,Beauty,2070.22,10,15,3105.33,17596.87,19,Male,UPI,3.0
187,2022-09-04,Sunday,9,1,Store_B,Sports,1015.27,10,15,1522.9,8629.8,56,Female,Debit Card,3.1
188,2022-04-21,Thursday,4,0,Store_D,Groceries,1770.79,12,30,6374.84,14874.64,43,Female,Cash,2.6
189,2023-08-07,Monday,8,0,Store_B,Sports,8432.38,3,15,3794.57,21502.57,50,Female,Debit Card,4.3
190,2023-10-01,Sunday,10,1,Store_A,Groceries,1951.41,13,10,2536.83,22831.5,68,Female,Debit Card,4.0
191,2022-07-23,Saturday,7,1,Store_D,Electronics,2742.52,5,25,3428.15,10284.45,39,Female,UPI,1.6
192,2023-06-12,Monday,6,0,Store_B,Sports,13991.12,11,5,7695.12,146207.2,43,Female,Debit Card,3.0
193,2023-06-06,Tuesday,6,0,Store_D,Toys,1477.19,1,10,147.72,1329.47,39,Male,UPI,3.3
194,2023-12-06,Wednesday,12,0,Store_A,Beauty,1172.29,20,20,4454.7,18991.1,32,Male,UPI,1.7
195,2022-06-01,Wednesday,6,0,Store_B,Electronics,28842.23,4,5,5768.45,109600.47,19,Female,Debit Card,2.7
196,2023-02-27,Monday,2,0,Store_B,Books,802.55,20,15,2407.65,13643.35,65,Male,Credit Card,3.1
197,2023-07-29,Saturday,7,1,Store_C,Beauty,2173.09,11,5,1195.2,22708.79,47,Female,Debit Card,3.7
198,2023-11-29,Wednesday,11,0,Store_C,Beauty,890.22,12,10,712.18,9970.46,53,Female,Credit Card,4.8
199,2022-10-23,Sunday,10,1,Store_B,Beauty,1370.61,12,20,3289.46,13157.86,68,Female,Debit Card,1.5
200,2023-11-24,Friday,11,0,Store_D,Books,1245.73,10,10,622.87,11834.43,20,Female,Cash,2.4
201,2023-11-03,Friday,11,0,Store_C,Beauty,973.85,20,10,1752.93,17724.07,53,Female,Credit Card,1.4
202,2022-09-06,Tuesday,9,0,Store_A,Furniture,51397.62,2,0,0.0,102795.24,44,Female,UPI,1.4
203,2022-05-21,Saturday,5,1,Store_A,Groceries,843.47,16,15,2024.33,11471.19,59,Male,Debit Card,2.3
204,2023-10-24,Tuesday,10,0,Store_A,Clothing,3331.03,8,20,5329.65,21318.59,65,Male,Credit Card,2.7
205,2022-06-30,Thursday,6,0,Store_A,Books,1203.14,6,25,1804.71,5414.13,36,Male,Cash,2.2
206,2023-09-10,Sunday,9,1,Store_A,Sports,4483.06,18,20,16139.02,64556.06,49,Male,UPI,2.1
207,2022-04-26,Tuesday,4,0,Store_C,Groceries,1475.68,9,25,3320.28,9960.84,29,Male,Debit Card,4.2
208,2023-08-05,Saturday,8,1,Store_B,Groceries,1241.36,13,30,4841.3,11296.38,45,Female,Cash,2.6
209,2022-04-08,Friday,4,0,Store_B,Groceries,981.04,8,0,0.0,7848.32,34,Female,Credit Card,2.8
210,2022-10-01,Saturday,10,1,Store_C,Toys,1789.14,19,0,0.0,33993.66,34,Female,Credit Card,1.2
211,2022-05-02,Monday,5,0,Store_D,Toys,563.18,17,25,2393.51,7180.55,67,Female,Cash,3.6
212,2022-10-30,Sunday,10,1,Store_C,Furniture,18311.16,5,15,13733.37,77822.43,27,Female,Debit Card,2.7
213,2023-07-17,Monday,7,0,Store_D,Furniture,61186.91,20,30,367121.46,856616.74,68,Male,UPI,3.1
214,2023-01-06,Friday,1,0,Store_A,Clothing,496.44,18,20,1787.18,7148.74,30,Male,Credit Card,2.3
215,2023-06-17,Saturday,6,1,Store_D,Clothing,3465.42,19,15,9876.45,55966.53,23,Female,Cash,2.8
216,2023-06-10,Saturday,6,1,Store_D,Beauty,2321.06,18,15,6266.86,35512.22,61,Female,Cash,2.6
217,2022-01-04,Tuesday,1,0,Store_B,Clothing,417.39,12,25,1252.17,3756.51,22,Male,Cash,4.9
218,2023-04-29,Saturday,4,1,Store_A,Toys,1285.71,5,30,1928.57,4499.98,59,Female,Debit Card,5.0
219,2023-01-27,Friday,1,0,Store_D,Books,625.9,18,5,563.31,10702.89,59,Female,Cash,1.7
220,2023-07-05,Wednesday,7,0,Store_D,Groceries,1469.32,8,30,3526.37,8228.19,18,Male,Debit Card,2.9
221,2023-07-12,Wednesday,7,0,Store_D,Books,1252.7,8,15,1503.24,8518.36,40,Male,Debit Card,1.8
222,2022-04-26,Tuesday,4,0,Store_A,Books,960.89,1,5,48.04,912.85,31,Male,Cash,3.4
223,2023-04-03,Monday,4,0,Store_A,Furniture,59502.75,13,15,116030.36,657505.39,32,Male,Cash,1.6
224,2022-10-24,Monday,10,0,Store_B,Sports,8788.88,11,5,4833.88,91843.8,37,Male,Credit Card,2.7
225,2022-10-09,Sunday,10,1,Store_A,Groceries,1270.69,14,20,3557.93,14231.73,49,Male,Debit Card,4.8
226,2023-11-19,Sunday,11,1,Store_D,Sports,10535.73,19,5,7375.01,192803.86,37,Female,Credit Card,4.0
227,2022-09-04,Sunday,9,1,Store_B,Toys,2586.87,5,30,3880.3,9054.05,47,Male,UPI,4.9
228,2023-07-25,Tuesday,7,0,Store_B,Books,440.0,7,10,308.0,2772.0,59,Male,UPI,4.4
229,2022-04-05,Tuesday,4,0,Store_B,Electronics,13788.85,20,20,55155.4,220621.6,20,Male,Credit Card,4.2
230,2023-08-25,Friday,8,0,Store_B,Beauty,954.22,11,10,1049.64,9446.78,18,Male,Credit Card,4.8
