show_id,title,type,director,cast,country,date_added,release_year,rating,duration,genre,imdb_score,votes,description
s11,Lupin,TV Show,George Kay,"Omar Sy, Ludivine Sagnier, Clotilde Hesme",France,January 8 2021,2021,TV-MA,3 Seasons,Crime Mystery,7.5,109000,"Inspired by the adventures of Arsène Lupin, gentleman thief Assane Diop sets out to avenge his father."
s12,The Umbrella Academy,TV Show,Steve Blackman,"Elliot Page, Tom Hopper, David Castañeda",United States,February 15 2019,2019,TV-14,3 Seasons,Superhero,8.0,292000,"A dysfunctional family of adopted sibling superheroes reunites to solve the mystery of their father's death."
s13,Peaky Blinders,TV Show,Steven Knight,"Cillian Murphy, Paul Anderson, Helen McCrory",United Kingdom,September 12 2013,2013,TV-MA,6 Seasons,Crime Drama,8.8,466000,"A gangster family epic set in Birmingham, England in 1919, centering on the Peaky Blinders gang."
s14,You,TV Show,Greg Berlanti,"Penn Badgley, Victoria Pedretti, Elizabeth Lail",United States,September 9 2018,2018,TV-MA,4 Seasons,Psychological Thriller,7.7,274000,"A dangerously charming, intelligent and demented man who takes whatever steps are needed to insert himself into the lives of those he becomes obsessed with."
s15,Sex Education,TV Show,Laurie Nunn,"Asa Butterfield, Gillian Anderson, Emma Mackey",United Kingdom,January 11 2019,2019,TV-MA,4 Seasons,Comedy Drama,8.3,215000,"A teenage boy with a sex therapist mother teams up with a rebellious classmate to set up an underground sex therapy clinic at school."
s16,Avatar: The Last Airbender,TV Show,Michael DiMartino,"Gordon Cormier, Daniel Dae Kim, Ken Leung",United States,February 22 2024,2024,TV-Y7,1 Season,Fantasy Adventure,7.7,56000,"Twelve-year-old Aang is the Avatar, capable of controlling all four elements. He must master them all to stop the destructive Fire Nation."
s17,Ginny & Georgia,TV Show,Sarah Lampert,"Brianne Howey, Antonia Gentry, Diesel La Torraca",United States,February 24 2021,2021,TV-MA,2 Seasons,Drama,7.8,83000,"Fiercely independent Georgia relocates her family to a quaint New England town."
s18,Never Have I Ever,TV Show,Mindy Kaling,"Maitreyi Ramakrishnan, Poorna Jagannathan, Darren Barnet",United States,April 27 2020,2020,TV-14,4 Seasons,Teen Comedy Drama,7.9,90000,"An Indian-American teenager navigates the challenges of high school life."
s19,Cobra Kai,TV Show,Josh Heald,"William Zabka, Ralph Macchio, Xolo Maridueña",United States,May 2 2018,2018,TV-14,6 Seasons,Martial Arts Drama,8.5,237000,"Decades after their encounter in The Karate Kid, Johnny Lawrence reopens the Cobra Kai karate dojo."
s20,All of Us Are Dead,TV Show,Lee JQ,"Park Ji-hu, Yoon Chan-young, Cho Yi-hyun",South Korea,January 28 2022,2022,TV-MA,1 Season,Zombie Thriller,7.5,85000,"A zombie virus breaks out in a high school, trapping students in a desperate fight for their lives."
s21,The Last Kingdom,TV Show,Stephen Butchard,"Alexander Dreymon, Emily Cox, David Dawson",United Kingdom,October 10 2015,2015,TV-MA,5 Seasons,Historical Drama,8.5,180000,"A story set during the Danish occupation of England follows Uhtred of Bebbanburg."
s22,Narcos,TV Show,Chris Brancato,"Wagner Moura, Boyd Holbrook, Pedro Pascal",United States,August 28 2015,2015,TV-MA,3 Seasons,Crime Drama,8.8,304000,"A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar."
s23,Elite,TV Show,Darío Madrona,"Itzan Escamilla, Miguel Bernardeau, Ester Expósito",Spain,October 5 2018,2018,TV-MA,7 Seasons,Teen Drama Thriller,7.3,101000,"When three working-class students enroll in an exclusive private school, the clash between them and the wealthy elite leads to murder."
s24,Manifest,TV Show,Jeff Rake,"Melissa Roxburgh, Josh Dallas, Athena Karkanis",United States,September 24 2018,2018,TV-14,4 Seasons,Mystery Sci-Fi,7.1,82000,"When Montego Air Flight 828 lands after a turbulent but routine flight, the passengers discover the world has aged five and a half years."
s25,The Haunting of Hill House,TV Show,Mike Flanagan,"Michiel Huisman, Elizabeth Reaser, Oliver Jackson-Cohen",United States,October 12 2018,2018,TV-MA,1 Season,Horror,8.6,218000,"Flashing between past and present, a fractured family confronts haunting memories of their old home and the terrifying events that drove them from it."
s26,Red Notice,Movie,Rawson Marshall Thurber,"Dwayne Johnson, Ryan Reynolds, Gal Gadot",United States,November 12 2021,2021,PG-13,117 min,Action Comedy,6.4,188000,"An Interpol-issued Red Notice is a global alert to hunt and capture the world's most wanted art thief."
s27,Don't Look Up,Movie,Adam McKay,"Leonardo DiCaprio, Jennifer Lawrence, Meryl Streep",United States,December 10 2021,2021,R,145 min,Satire Comedy,7.2,430000,"Two low-level astronomers must go on a giant media tour to warn humankind of an approaching comet that will destroy planet Earth."
s28,Bird Box,Movie,Susanne Bier,"Sandra Bullock, Trevante Rhodes, John Malkovich",United States,December 21 2018,2018,R,124 min,Horror Thriller,6.6,344000,"A mother and her two children blindfold themselves to make a harrowing journey to survival."
s29,The Irishman,Movie,Martin Scorsese,"Robert De Niro, Al Pacino, Joe Pesci",United States,November 27 2019,2019,R,209 min,Crime Drama,7.8,487000,"An old man recalls his time painting houses for his friend, Jimmy Hoffa, through the 1950-70s."
s30,Extraction,Movie,Sam Hargrave,"Chris Hemsworth, Bryon Mulligan, Barry Pepper",United States,April 24 2020,2020,R,116 min,Action,6.7,293000,"Tyler Rake, a fearless black market mercenary, embarks on the most deadly extraction of his career."
s31,Murder Mystery,Movie,Kyle Newacheck,"Adam Sandler, Jennifer Aniston, Luke Evans",United States,June 14 2019,2019,PG-13,97 min,Comedy Mystery,6.0,166000,"A New York cop and his wife go on a European vacation to reinvigorate their marriage, but end up becoming suspects in the murder of an elderly billionaire."
s32,The Gray Man,Movie,Anthony Russo,"Ryan Gosling, Chris Evans, Ana de Armas",United States,July 22 2022,2022,PG-13,122 min,Action Thriller,6.5,231000,"When the CIA's most skilled operative accidentally discovers dark agency secrets, he becomes the target of a global manhunt."
s33,Enola Holmes,Movie,Harry Bradbeer,"Millie Bobby Brown, Henry Cavill, Sam Claflin",United Kingdom,September 23 2020,2020,PG-13,123 min,Mystery Adventure,6.6,142000,"When Enola Holmes—Sherlock's teen sister—discovers her mother has disappeared, she sets off to find her."
s34,The Adam Project,Movie,Shawn Levy,"Ryan Reynolds, Walker Scobell, Mark Ruffalo",United States,March 11 2022,2022,PG-13,106 min,Sci-Fi Adventure,6.7,200000,"A time-traveling fighter pilot teams up with his 12-year-old self on a mission to save the future."
s35,Hustle,Movie,Jeremiah Zagar,"Adam Sandler, Queen Latifah, Ben Foster",United States,June 8 2022,2022,R,117 min,Sports Drama,7.3,115000,"A basketball scout discovers a once-in-a-lifetime player abroad and against all odds, tries to bring him to the NBA."
s36,The Power of the Dog,Movie,Jane Campion,"Benedict Cumberbatch, Kirsten Dunst, Jesse Plemons",United States,December 1 2021,2021,R,126 min,Western Drama,6.9,220000,"A domineering rancher wages a campaign of intimidation on his brother's new wife and her son."
s37,Mank,Movie,David Fincher,"Gary Oldman, Amanda Seyfried, Lily Collins",United States,December 4 2020,2020,R,131 min,Historical Drama,6.8,102000,"1930s Hollywood is re-evaluated through the eyes of scathing social critic Herman J. Mankiewicz as he races to finish the screenplay of Citizen Kane."
s38,tick tick BOOM,Movie,Lin-Manuel Miranda,"Andrew Garfield, Alexandra Shipp, Robin de Jesús",United States,November 19 2021,2021,PG-13,120 min,Musical Drama,7.6,75000,"On the cusp of his 30th birthday, a young theatre composer navigates love, friendship and the pressures of life as an artist in New York City."
s39,The Dig,Movie,Simon Stone,"Carey Mulligan, Ralph Fiennes, Lily James",United Kingdom,January 29 2021,2021,PG-13,112 min,Historical Drama,7.0,57000,"In 1939, a landowner hires an amateur archaeologist to excavate burial mounds on her estate."
s40,Marriage Story,Movie,Noah Baumbach,"Adam Driver, Scarlett Johansson, Laura Dern",United States,November 6 2019,2019,R,137 min,Drama,7.9,338000,"A stage director and his actress wife struggle through a grueling, coast-to-coast divorce."
s41,Munich: The Edge of War,Movie,Christian Schwochow,"George MacKay, Jannis Niewöhner, Jeremy Irons",United Kingdom,January 21 2022,2022,TV-14,120 min,Historical Thriller,6.8,37000,"A young British diplomat races to prevent a second World War during the Munich conference of 1938."
s42,To All the Boys: Always and Forever,Movie,Michael Fimognari,"Lana Condor, Noah Centineo, Janel Parrish",United States,February 12 2021,2021,PG-13,111 min,Romantic Comedy,6.3,38000,"Lara Jean and Peter have a senior year full of big decisions to make together."
s43,Blonde,Movie,Andrew Dominik,"Ana de Armas, Adrien Brody, Bobby Cannavale",United States,September 23 2022,2022,NC-17,166 min,Biographical Drama,5.8,105000,"A fictionalized chronicle of the life of Marilyn Monroe."
s44,Glass Onion,Movie,Rian Johnson,"Daniel Craig, Edward Norton, Janelle Monáe",United States,December 23 2022,2022,PG-13,139 min,Mystery Comedy,7.1,333000,"Tech billionaire Miles Bron invites his friends to his private island for a murder mystery party."
s45,Pinocchio,Movie,Guillermo del Toro,"Gregory Mann, David Bradley, Ewan McGregor",United States,December 9 2022,2022,PG,117 min,Animated Musical,7.6,65000,"A maestro craftsman creates a wooden boy named Pinocchio who magically comes to life."
s46,Athena,Movie,Romain Gavras,"Dali Benssalah, Sami Slimane, Anthony Bajon",France,September 23 2022,2022,TV-MA,99 min,Action Drama,6.8,40000,"Hours after the tragic death of their youngest brother, three brothers see their world fall apart."
s47,The Sea Beast,Movie,Chris Williams,"Karl Urban, Zaris-Angel Hator, Jared Harris",United States,July 8 2022,2022,PG,115 min,Animated Adventure,7.1,48000,"In an era when terrifying sea monsters roam the seas, a monster hunter takes a young girl on the adventure of a lifetime."
s48,Matilda the Musical,Movie,Matthew Warchus,"Alisha Weir, Emma Thompson, Lashana Lynch",United Kingdom,December 25 2022,2022,PG,117 min,Musical Family,7.0,47000,"An extraordinary young girl discovers she has supernatural powers and decides to fight back against the oppressive adults in her life."
s49,Emily the Criminal,Movie,John Patton Ford,"Aubrey Plaza, Theo Rossi, Megalyn Echikunwoke",United States,August 12 2022,2022,R,97 min,Crime Thriller,7.0,53000,"A woman saddled with student-loan debt gets involved in a credit card scam that pulls her into the criminal world of Los Angeles."
s50,1899,TV Show,Baran bo Odar,"Emily Beecham, Aneurin Barnard, Andreas Pietschmann",Germany,November 17 2022,2022,TV-MA,1 Season,Mystery Sci-Fi,8.0,147000,"Multinational immigrants on a steamship voyage from Europe to New York encounter a shocking mystery on a second ship adrift on the open sea."
s51,Inventing Anna,TV Show,Shonda Rhimes,"Julia Garner, Anna Chlumsky, Arian Moayed",United States,February 11 2022,2022,TV-MA,1 Season,True Crime Drama,6.8,47000,"A journalist investigates the case of Anna Delvey, the Instagram-legendary German heiress who stole the hearts of New York's social scene."
s52,The Serpent Queen,TV Show,Justin Haythe,"Samantha Morton, Liv Hill, Sennia Nanua",United Kingdom,September 11 2022,2022,TV-MA,2 Seasons,Historical Drama,7.3,18000,"The story of Catherine de Medici's rise to power as one of history's most notorious queens."
s53,Yellowjackets,TV Show,Ashley Lyle,"Melanie Lynskey, Tawny Cypress, Christina Ricci",United States,November 14 2021,2021,TV-MA,2 Seasons,Drama Thriller,7.8,76000,"What started as a team of young female athletes stranded in the wilderness transforms into something far more sinister."
s54,Outer Banks,TV Show,Josh Pate,"Chase Stokes, Madelyn Cline, Madison Bailey",United States,April 15 2020,2020,TV-MA,4 Seasons,Adventure Mystery,7.6,156000,"A group of teenagers from the wrong side of the tracks stumble upon a treasure map that leads to a secret linked to their past."
s55,On My Block,TV Show,Lauren Iungerich,"Sierra Capri, Jason Genao, Brett Gray",United States,March 16 2018,2018,TV-14,4 Seasons,Teen Comedy Drama,7.7,33000,"A coming-of-age story about four bright and street-savvy friends navigating their way through high school in the gritty inner city of South Central Los Angeles."
s56,Fate: The Winx Saga,TV Show,Brian Young,"Abigail Cowen, Hannah van der Westhuysen, Precious Mustapha",United Kingdom,January 22 2021,2021,TV-MA,2 Seasons,Fantasy Drama,5.6,30000,"Live-action adaptation of the Italian animated series Winx Club, about a group of fairies attending a school for magical creatures."
s57,Sweet Home,TV Show,Lee Eung-bok,"Song Kang, Lee Jin-uk, Lee Si-young",South Korea,December 18 2020,2020,TV-MA,3 Seasons,Horror Thriller,7.5,55000,"A reclusive boy moves into a mysterious apartment and faces a terrifying reality where monsters attack humanity."
s58,Hellbound,TV Show,Yeon Sang-ho,"Yang Ik-june, Kim Hyun-joo, Yoo Ah-in",South Korea,November 19 2021,2021,TV-MA,2 Seasons,Horror Drama,7.3,49000,"Supernatural beings suddenly appear and give a decree of death to people, soon to be executed in spectacular and terrifying fashion."
s59,Tinder Swindler,Movie,Felicity Morris,,Israel,February 2 2022,2022,TV-MA,114 min,True Crime Documentary,7.1,66000,"Women who were conned by a man posing as a billionaire on Tinder reveal how they banded together to try to stop him."
s60,Our Planet,TV Show,David Attenborough,,United Kingdom,April 5 2019,2019,TV-G,2 Seasons,Nature Documentary,9.3,68000,"David Attenborough takes viewers on a journey to the world's remotest places to witness the force of nature and the living creatures that share our world."
s61,Tiger King,TV Show,Eric Goode,,United States,March 20 2020,2020,TV-MA,3 Seasons,True Crime Documentary,7.5,77000,"A zoo owner spirals out of control amid a cast of eccentric characters in this true crime documentary."
s62,The Highwaymen,Movie,John Lee Hancock,"Kevin Costner, Woody Harrelson, Kathy Bates",United States,March 29 2019,2019,R,132 min,Crime Drama,7.0,88000,"Former Texas Rangers Frank Hamer and Maney Gault come out of retirement to pursue the notorious Bonnie and Clyde."
s63,The Platform,Movie,Galder Gaztelu-Urrutia,"Ivan Massagué, Zorion Eguileor, Antonia San Juan",Spain,March 20 2020,2020,TV-MA,94 min,Sci-Fi Horror,7.0,175000,"In a prison-like establishment, food descends on a platform to inmates on different floors."
s64,Train to Busan,Movie,Yeon Sang-ho,"Gong Yoo, Ma Dong-seok, Jung Yu-mi",South Korea,September 22 2016,2016,TV-MA,118 min,Zombie Action,7.6,202000,"A father and his daughter board a train while a zombie apocalypse begins to spread across Korea."
s65,Parasite,Movie,Bong Joon-ho,"Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong",South Korea,April 3 2020,2020,R,132 min,Black Comedy Thriller,8.5,783000,"Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan."
s66,Roma,Movie,Alfonso Cuarón,"Yalitza Aparicio, Marina de Tavira, Diego Cortina Autrey",Mexico,November 21 2018,2018,R,135 min,Drama,7.7,197000,"A year in the life of a middle-class family's maid in Mexico City in the early 1970s."
s67,I Care a Lot,Movie,J Blakeson,"Rosamund Pike, Peter Dinklage, Eiza González",United States,February 19 2021,2021,R,118 min,Dark Comedy Thriller,6.8,118000,"A crooked legal guardian who drains the savings of her elderly wards meets her match when a new mark turns out to be more than she initially appears."
s68,The Trial of the Chicago 7,Movie,Aaron Sorkin,"Sacha Baron Cohen, Eddie Redmayne, Joseph Gordon-Levitt",United States,October 16 2020,2020,R,130 min,Historical Drama,7.8,277000,"The story of 7 people on trial stemming from various charges surrounding the uprising at the 1968 Democratic National Convention."
s69,Malcolm & Marie,Movie,Sam Levinson,"John David Washington, Zendaya",United States,February 5 2021,2021,R,106 min,Romantic Drama,6.5,75000,"A filmmaker and his girlfriend return home from a movie premiere and begin an argument that may threaten their relationship."
s70,Mosul,Movie,Matthew Michael Carnahan,"Adam Bessa, Thaer Al-Saadi",Iraq,November 26 2020,2020,TV-MA,101 min,War Action,7.2,33000,"A SWAT team from Mosul, Iraq fights to free their country from ISIS control."
s71,The White Tiger,Movie,Ramin Bahrani,"Adarsh Gourav, Rajkummar Rao, Priyanka Chopra Jonas",India,January 22 2021,2021,R,125 min,Drama,7.1,82000,"An Indian man from a low-caste family escapes poverty by using his wit and cunning to become a successful entrepreneur."
s72,Dhamaka,Movie,Ram Madhvani,"Kartik Aaryan, Mrunal Thakur",India,November 19 2021,2021,TV-14,104 min,Action Thriller,6.9,32000,"A failed journalist hosts a live broadcast after a terrorist threatens to blow up the Bandra-Worli Sea Link."
s73,Lust Stories,Movie,Anurag Kashyap,,India,June 15 2018,2018,TV-MA,112 min,Drama Anthology,7.3,31000,"Four short films based on the personal and sexual lives of modern Indian women."
s74,A Thursday,Movie,Behzad Khambata,"Yami Gautam, Neha Dhupia, Atul Kulkarni",India,February 17 2022,2022,TV-MA,117 min,Thriller,7.2,21000,"A nursery school teacher takes children as hostages and makes demands to the police."
s75,The Starling Girl,Movie,Laurel Parmet,"Eliza Scanlen, Lewis Pullman, Jimmi Simpson",United States,May 12 2023,2023,R,112 min,Drama,7.1,8000,"A young woman growing up in a fundamentalist Christian community falls for an older married man."
s76,Luther: The Fallen Sun,Movie,Jamie Paige,"Idris Elba, Cynthia Erivo, Andy Serkis",United Kingdom,March 10 2023,2023,TV-MA,129 min,Crime Thriller,6.9,82000,"Brilliant but disgraced detective John Luther breaks out of prison to hunt a sadistic serial killer."
s77,You People,Movie,Kenya Barris,"Jonah Hill, Lauren London, Eddie Murphy",United States,January 27 2023,2023,R,116 min,Romantic Comedy,5.4,55000,"A new couple and their families reckon with modern love, identity, and the timeless conflict between the generations."
s78,Your Place or Mine,Movie,Aline Brosh McKenna,"Reese Witherspoon, Ashton Kutcher, Whitney Cummings",United States,February 10 2023,2023,PG-13,111 min,Romantic Comedy,5.3,44000,"Best friends and total opposites swap homes for a week and discover they may have been living in the wrong place."
s79,The Mother,Movie,Niki Caro,"Jennifer Lopez, Joseph Fiennes, Omari Hardwick",United States,May 12 2023,2023,R,115 min,Action Thriller,5.7,68000,"A deadly female assassin comes out of hiding to protect the daughter she gave up years before."
s80,Murder Mystery 2,Movie,Jeremy Garelick,"Adam Sandler, Jennifer Aniston, Mark Strong",United States,March 31 2023,2023,PG-13,90 min,Comedy Mystery,5.8,75000,"Nick and Audrey Spitz are struggling to get their detective agency off the ground when their friend Maharaja is kidnapped from his wedding."
s81,The Night Agent,TV Show,Shawn Ryan,"Gabriel Basso, Luciane Buchanan, Hong Chau",United States,March 23 2023,2023,TV-MA,2 Seasons,Political Thriller,7.2,99000,"A low-level FBI agent working in the White House basement answers a call from a woman whose contact said to call if he ever stopped calling."
s82,Beef,TV Show,Lee Sung Jin,"Steven Yeun, Ali Wong, Joseph Lee",United States,April 6 2023,2023,TV-MA,1 Season,Dark Comedy Drama,8.1,95000,"A road rage incident between two strangers sets off a series of life-altering events in this darkly comedic limited series."
s83,The Diplomat,TV Show,Debora Cahn,"Keri Russell, Rufus Sewell, David Gyasi",United States,April 20 2023,2023,TV-MA,2 Seasons,Political Drama,7.5,61000,"In the midst of an international crisis, a career diplomat lands in a high-profile job she's unsuited for."
s84,XO Kitty,TV Show,Jenny Han,"Anna Cathcart, Choi Min-young, Gia Kim",United States,May 18 2023,2023,TV-14,2 Seasons,Teen Romantic Comedy,7.1,36000,"Aspiring matchmaker Kitty Song Covey moves to Seoul to reunite with her long-distance boyfriend, only to realize she has a lot to learn."
s85,Extraction 2,Movie,Sam Hargrave,"Chris Hemsworth, Golshifteh Farahani, Adam Bessa",United States,June 16 2023,2023,R,123 min,Action,6.3,108000,"Black ops mercenary Tyler Rake is tasked with extracting a family who is being held hostage deep inside one of Europe's most dangerous prisons."
s86,Kaleidoscope,TV Show,Eric Garcia,"Giancarlo Esposito, Paz Vega, Rufus Sewell",United States,January 1 2023,2023,TV-MA,1 Season,Heist Crime,6.9,38000,"An anthology heist series about a master thief and his crew as they attempt an elaborate robbery."
s87,Barbarians,TV Show,Andreas Marschall,"Laurence Rupp, Jeanne Goursaud, David Schütter",Germany,October 23 2020,2020,TV-MA,2 Seasons,Historical Drama,7.5,27000,"The story of the Battle of the Teutoburg Forest set in 9 AD where Germanic warriors clashed with the Roman Empire."
s88,Mindhunter,TV Show,David Fincher,"Jonathan Groff, Holt McCallany, Anna Torv",United States,October 13 2017,2017,TV-MA,2 Seasons,Crime Drama,8.6,359000,"In the late 1970s, two FBI agents broaden the criminal science of psychological profiling to develop a groundbreaking understanding of the motives of serial killers."
s89,Altered Carbon,TV Show,Laeta Kalogridis,"Joel Kinnaman, Will Yun Lee, Martha Higareda",United States,February 2 2018,2018,TV-MA,2 Seasons,Sci-Fi,8.0,167000,"Set in a future where consciousness is digitized and stored, a prisoner is brought back to life and given a new body to solve a murder."
s90,Dark Tourist,TV Show,David Farrier,,New Zealand,August 20 2018,2018,TV-MA,1 Season,Travel Documentary,7.3,12000,"A New Zealand journalist travels to unusual holiday destinations off the beaten track."
s91,Queer Eye,TV Show,David Collins,"Antoni Porowski, Bobby Berk, Karamo Brown",United States,February 7 2018,2018,TV-14,8 Seasons,Reality,9.1,42000,"Five gay men reinvent straight men in various categories including culture, food, grooming, fashion and home décor."
s92,Salt Fat Acid Heat,TV Show,Caroline Suh,,United States,October 11 2018,2018,TV-G,1 Season,Food Documentary,8.0,7000,"Chef Samin Nosrat travels the world to explore the four fundamental elements of good cooking."
s93,Nailed It!,TV Show,Donna Ladd,,United States,March 9 2018,2018,TV-PG,6 Seasons,Reality Competition,7.7,16000,"Amateur bakers attempt to recreate elaborate baked goods with disastrous but hilarious results."
s94,The Circle,TV Show,Tim Harcourt,,United States,January 1 2020,2020,TV-MA,6 Seasons,Reality Competition,5.6,12000,"Players live in the same building but never meet face-to-face. Flirt, befriend or catfish to become the most popular player in The Circle."
s95,Love is Blind,TV Show,Chris Coelen,,United States,February 13 2020,2020,TV-MA,6 Seasons,Reality Romance,6.2,27000,"Singles who want to be loved for who they are, rather than what they look like, agree to date each other sight unseen."
s96,The Great British Baking Show,TV Show,Kieran Smith,,United Kingdom,October 28 2014,2014,TV-G,11 Seasons,Reality Competition,8.7,73000,"Amateur bakers compete in a series of challenges set by judges who are looking to find the best amateur baker in the country."
s97,Our Planet II,TV Show,David Attenborough,,United Kingdom,June 14 2023,2023,TV-G,1 Season,Nature Documentary,9.0,8000,"David Attenborough explores why the movement of animals is among the greatest and most important phenomena on Earth."
s98,Abstract: The Art of Design,TV Show,Scott Dadich,,United States,February 10 2017,2017,TV-G,2 Seasons,Design Documentary,8.4,17000,"A documentary series exploring the world's most innovative designers across various creative fields."
s99,Chef's Table,TV Show,David Gelb,,United States,April 26 2015,2015,TV-G,7 Seasons,Food Documentary,8.4,38000,"Prominent chefs from around the world talk about their culinary philosophy and what drives them."
s100,Inside Bill's Brain: Decoding Bill Gates,TV Show,Davis Guggenheim,,United States,September 20 2019,2019,TV-G,1 Season,Tech Documentary,7.7,21000,"A look inside the mind of Bill Gates as he takes on some of the world's most challenging problems."
